Actual Strength,MLR Predicted,KNNR Predicted
41.67,40.75358783822692,40.620000000000005
29.55,28.66355366379524,32.001999999999995
34.49,44.41726698590409,33.822
14.54,26.838959206902473,21.206
17.34,21.837246879907113,15.882000000000001
10.54,17.413508939219653,12.214000000000002
23.14,21.545504242235054,27.088
58.78,63.66463199397826,52.208000000000006
44.7,38.48010956690082,43.588
11.41,9.686729861125158,11.326
62.05,52.14534128720621,58.290000000000006
50.7,53.9470041696197,46.06
46.23,50.35366124219037,48.27
32.72,33.851336141972965,32.422
40.15,36.9049335688872,37.519999999999996
47.74,46.02751023443405,43.63000000000001
21.78,21.31390642737024,29.194
27.22,29.417385036795494,24.756
37.92,41.478575683834194,47.694
61.89,56.89640771662117,55.968
53.66,49.14904796539443,52.278
27.04,22.490500405225404,19.124
19.52,15.32040969523483,19.068
9.73,15.897120317689954,22.1
33.54,39.27387282502501,43.668000000000006
37.42,36.71574724605627,37.82
43.89,43.808943776574,36.826
12.37,26.7159722168997,18.744
25.46,25.890918905167297,16.227999999999998
19.01,24.86199300627969,26.404000000000003
9.45,12.053545052727003,18.158
28.68,29.7793909828019,32.75
71.3,57.17211223341201,61.51800000000001
48.79,48.06492047708706,35.358
22.75,35.919062588544165,36.30800000000001
24.13,24.624305648816716,41.084
59.0,49.20825381748463,53.926
39.49,46.79470786992502,38.914
37.8,40.76021275558007,57.05999999999999
22.35,17.844566038533017,16.422
22.9,44.682227441602194,39.14
47.97,61.273864737551804,56.3
19.69,23.608948860847264,20.174
25.89,29.79996440825228,24.318
30.22,33.96702326440416,32.327999999999996
17.6,26.517575599687277,18.814
65.91,50.334168981330606,59.519999999999996
29.73,31.21988566620992,25.8
29.75,25.183723642300478,28.613999999999997
41.94,42.56761588528224,38.016000000000005
57.21,44.049268178650124,54.524
79.99,56.53199450899956,55.967999999999996
42.35,44.284240685286235,39.132
39.3,42.90748923707339,34.751999999999995
72.3,66.1529934624969,67.158
26.06,23.73334973842124,25.532
9.01,21.65592734330953,15.669999999999998
38.22,52.28673057719091,45.416
33.3,36.35924315497678,36.102
32.04,29.400836349861308,25.924
24.4,37.11454509464788,53.54600000000001
60.29,59.15531170097387,46.9
36.35,38.19546134694279,31.845999999999997
67.8,65.64894795932152,66.96
35.23,20.721544970292527,24.395999999999997
64.3,66.96732710051108,58.42
43.57,40.16260212646152,40.386
32.33,42.17925592483499,32.058
39.7,39.94475344527015,41.868
35.08,21.524473337579707,36.91799999999999
14.5,14.310435767525888,14.726000000000003
14.7,18.249987315959203,21.35
27.74,23.427816178746852,23.242
48.85,48.86107269850871,35.082
14.6,13.454846734696929,14.758
33.12,45.347837596621886,40.588
25.37,25.16825667747426,24.444
42.33,35.78352889629838,43.29600000000001
41.41,34.67391849924269,42.268
42.42,38.23137547421641,32.998000000000005
35.57,37.03598104641149,35.398
40.93,40.89256009195887,44.589999999999996
28.63,21.51143169406447,34.898
43.58,40.197505967089455,40.386
44.3,42.266001330211324,39.132000000000005
15.34,23.499862819344656,18.616000000000003
59.8,55.763241644354764,52.54
13.57,15.93785916470722,19.863999999999997
42.13,49.960324479277276,42.326
54.38,41.013397172229006,53.49399999999999
19.11,17.540783441755394,18.948
22.95,21.058781560839705,34.846000000000004
37.17,34.5509477802716,36.162
17.22,13.543107858714208,17.206
44.4,39.89060802164738,37.788
14.8,15.276954795655882,15.938000000000002
9.85,6.378177465484562,15.918000000000001
28.3,39.573546429345015,44.040000000000006
35.3,39.59134692603239,39.14
54.9,65.09424847619478,62.126
55.83,46.706687134287066,42.628
32.25,28.361176002138123,31.246
26.97,28.707493051024528,28.714
38.33,38.14733847249957,33.112
47.4,38.92040990271873,42.775999999999996
52.91,38.64568593622792,44.962
32.11,36.08171463584053,51.552
28.6,39.701467769277954,46.775999999999996
17.54,22.01828792903555,15.675999999999998
68.5,56.864223078649445,59.48
29.65,31.1238731660938,28.226000000000006
80.2,64.96632713626184,66.36
25.18,27.766839587465682,24.268
42.64,34.60689259921716,41.084
19.77,23.59931470903939,20.174
67.57,58.83673291831491,62.374
